data,mandante,estado_mandante,visitante,estado_visitante,gols_mandante,gols_visitante,temporada,rodada,resultado_mandante
2017-11-05 17:00:00,Corinthians-SP,SP,Palmeiras-SP,SP,3,2,2017,32,V
2017-11-05 17:00:00,Gremio-RS,RS,Flamengo-RJ,RJ,3,1,2017,32,V
2017-11-05 17:00:00,Cruzeiro-MG,MG,Atletico-PR,PR,1,0,2017,32,V
2017-11-05 18:00:00,Bahia-BA,BA,Ponte Preta-SP,SP,2,0,2017,32,V
2017-11-05 19:00:00,Chapecoense-SC,SC,Sport-PE,PE,1,1,2017,32,E
2017-11-05 19:00:00,Vasco da Gama-RJ,RJ,Vitoria-BA,BA,1,1,2017,32,E
2017-11-08 19:30:00,Ponte Preta-SP,SP,Gremio-RS,RS,0,1,2017,33,D
2017-11-08 19:30:00,Avai-SC,SC,Bahia-BA,BA,1,2,2017,33,D
2017-11-08 21:00:00,Sport-PE,PE,Botafogo-RJ,RJ,1,2,2017,33,D
2017-11-08 21:00:00,Atletico-PR,PR,Corinthians-SP,SP,0,1,2017,33,D
2017-11-08 21:45:00,Flamengo-RJ,RJ,Cruzeiro-MG,MG,2,0,2017,33,V
2017-11-08 21:45:00,Santos-SP,SP,Vasco da Gama-RJ,RJ,1,2,2017,33,D
2017-11-08 21:45:00,Vitoria-BA,BA,Palmeiras-SP,SP,3,1,2017,33,V
2017-11-09 20:00:00,Sao Paulo-SP,SP,Chapecoense-SC,SC,2,2,2017,33,E
2017-11-09 20:00:00,Atletico-MG,MG,Atletico-GO,GO,3,2,2017,33,V
2017-11-09 21:00:00,Fluminense-RJ,RJ,Coritiba-PR,PR,2,2,2017,33,E
2017-11-11 17:00:00,Botafogo-RJ,RJ,Atletico-PR,PR,0,1,2017,34,D
2017-11-11 19:00:00,Corinthians-SP,SP,Avai-SC,SC,1,0,2017,34,V
2017-11-12 17:00:00,Gremio-RS,RS,Vitoria-BA,BA,1,1,2017,34,E
2017-11-12 17:00:00,Vasco da Gama-RJ,RJ,Sao Paulo-SP,SP,1,1,2017,34,E
2017-11-12 17:00:00,Atletico-GO,GO,Sport-PE,PE,2,0,2017,34,V
2017-11-12 17:00:00,Palmeiras-SP,SP,Flamengo-RJ,RJ,2,0,2017,34,V
2017-11-12 18:00:00,Bahia-BA,BA,Atletico-MG,MG,2,2,2017,34,E
2017-11-12 19:00:00,Cruzeiro-MG,MG,Fluminense-RJ,RJ,3,1,2017,34,V
2017-11-12 19:00:00,Coritiba-PR,PR,Ponte Preta-SP,SP,1,1,2017,34,E
2017-11-13 20:00:00,Chapecoense-SC,SC,Santos-SP,SP,2,0,2017,34,V
2017-11-15 17:00:00,Ponte Preta-SP,SP,Atletico-PR,PR,2,1,2017,35,V
2017-11-15 19:30:00,Gremio-RS,RS,Sao Paulo-SP,SP,1,0,2017,35,V
2017-11-15 19:30:00,Cruzeiro-MG,MG,Avai-SC,SC,2,2,2017,35,E
2017-11-15 21:45:00,Vasco da Gama-RJ,RJ,Atletico-MG,MG,1,1,2017,35,E
